osm_id,code,fclass,name,longitude,latitude,facility_count,status
"9776297111",5250,fuel,SPBU Palapa,105.247,-5.422,98,strategis
"9776301427",5250,fuel,SPBU Cut Nyak Dien,105.247,-5.414,104,strategis
"9776323953",5250,fuel,Pom Bensin Mini,105.251,-5.398,87,strategis
"9776485938",5250,fuel,SPBU Gunung Sugih,105.217,-4.961,10,strategis
"9776495567",5250,fuel,Pertamini,105.214,-4.975,13,strategis
"9776939453",5250,fuel,SPBU Kurungan Nyawa,105.196,-5.377,17,strategis
"9776976852",5250,fuel,SPBUTaman Sari,105.148,-5.365,20,strategis
"9777449379",5250,fuel,SPBU Tugu Pengantin,105.094,-5.380,22,strategis
"9778473088",5250,fuel,SPBU Gading Rejo,105.069,-5.374,10,strategis
"9778519557",5250,fuel,SPBU REST AREA Gadingrejo,105.024,-5.381,19,strategis
"9778557551",5250,fuel,Ale Pom Bensin,105.004,-5.364,11,strategis
"9778561882",5250,fuel,Masjid Al Syadar,105.065,-5.374,9,strategis
"9778566170",5250,fuel,SPBU Tambak Rejo,105.014,-5.378,25,strategis
"9778586341",5250,fuel,Pertamini Dobdob,104.991,-5.357,20,strategis
"9778661750",5250,fuel,SPBU Fajar Resuk,104.964,-5.356,16,strategis
"9778824803",5250,fuel,SPBU Kali Balangan,104.969,-4.876,10,strategis
"9780499212",5250,fuel,Pertamini,104.896,-5.370,23,strategis
"9780602970",5250,fuel,SPBU Pagelaran Kota,104.884,-5.371,20,strategis
"9780652392",5250,fuel,SPBU Tanjung Heran,104.797,-5.355,9,strategis
"9780659627",5250,fuel,Pertamini Mang Mul,104.861,-5.368,6,strategis
"9780868747",5250,fuel,SPBU Gunung Tiga,105.452,-5.056,0,tidak stra
"9781027881",5250,fuel,Pertamini Iwan Astra,105.217,-4.629,15,strategis
"9781042786",5250,fuel,Pertamini Pak Supri,105.210,-4.634,8,strategis
"9782141889",5250,fuel,Pertamini Ryacudu,105.290,-5.380,51,strategis
"9782251692",5250,fuel,Pertamini Eceran,105.276,-5.338,5,strategis
"9784197860",5250,fuel,Pertamini Nola,105.250,-5.501,3,tidak stra
"9784611680",5250,fuel,Pertamini,104.613,-5.489,11,strategis
"9784794948",5250,fuel,SPBU Pertamina Sudirman Liwa,104.085,-5.038,18,strategis
"9785929251",5250,fuel,SPBU Ki Maja,105.270,-5.386,165,strategis
"9785969649",5250,fuel,SPBU Sultan Agung,105.270,-5.381,161,strategis
"9786469801",5250,fuel,SPBU RA Basyid,105.264,-5.352,20,strategis
"9787131635",5250,fuel,SPBU Karang Anyar,105.287,-5.308,21,strategis
"9787177731",5250,fuel,SPBU Simpang,105.305,-5.234,9,strategis
"9787194245",5250,fuel,SPBU Kibang,105.317,-5.192,5,strategis
"9788597891",5250,fuel,SPBU Tirtayasa,105.319,-5.410,19,strategis
"9788692543",5250,fuel,SPBU Kali Asin,105.343,-5.417,19,strategis
"9789364652",5250,fuel,Pertamini Gusti,105.398,-5.417,21,strategis
"9789376438",5250,fuel,SPBU Serdang,105.402,-5.420,16,strategis
"9789387379",5250,fuel,SPBU Kotabumi,104.898,-4.835,41,strategis
"9789442226",5250,fuel,SPBU Kotabumi,104.913,-4.850,22,strategis
"9789688281",5250,fuel,SPBU Terbanggi Besar,105.226,-4.831,9,strategis
"9789796916",5250,fuel,Pertamini Abdl Malik,105.215,-4.760,15,strategis
"9789802599",5250,fuel,SPBU,105.213,-4.757,8,strategis
"9790787612",5250,fuel,Pertamini,104.237,-3.446,16,strategis
"9791514825",5250,fuel,SPBU Simpang Manna,103.264,-4.034,15,strategis
"9791603894",5250,fuel,SPBU Shell,98.971,3.568,27,strategis
"9791603907",5250,fuel,SPBU Pertamina,98.967,3.569,44,strategis
"9791638099",5250,fuel,SPBU Pertamina,98.999,3.567,28,strategis
"9792108578",5250,fuel,Pertamini,99.007,3.555,18,strategis
"9792123382",5250,fuel,SPBU Pertamina,99.031,3.552,21,strategis
"9792598684",5250,fuel,Pertamini Taba Jemekeh,102.882,-3.286,32,strategis
"9792870414",5250,fuel,Pertamini,102.858,-3.300,37,strategis
"9793168653",5250,fuel,Pertamina Tebing Tinggi,103.083,-3.586,10,strategis
"9794057209",5250,fuel,SPBU Pramuka,105.221,-5.381,47,strategis
"9794159814",5250,fuel,SPBU Rajabasa1,105.233,-5.368,44,strategis
"9794160659",5250,fuel,SPBU Rajabasa 2,105.234,-5.367,44,strategis
"9794427264",5250,fuel,SPBU AKR,105.276,-5.364,46,strategis
"9794432702",5250,fuel,SPBU Codo,105.278,-5.363,45,strategis
"9794712653",5250,fuel,SPBU Way KAndis,105.285,-5.359,34,strategis
"9794794529",5250,fuel,SPBU Jati Mulyo,105.295,-5.342,42,strategis
"9795414889",5250,fuel,SPBU Garuntang,105.285,-5.436,35,strategis
"9796116864",5250,fuel,SPBU Martadinata,105.244,-5.465,39,strategis
"9796139579",5250,fuel,Pertashop,105.255,-5.452,84,strategis
"9797510492",5250,fuel,SPBU Lintik,103.924,-5.230,6,strategis
"9797669652",5250,fuel,SPBU Rumah Susun,104.750,-2.987,195,strategis
"9800497935",5250,fuel,SPBU Pertamina,98.617,3.595,22,strategis
"9801931514",5250,fuel,Pertamina,99.637,2.512,1,tidak stra
"9808924194",5250,fuel,SPBU SUKABERENANG,104.453,0.914,51,strategis
"9896556157",5250,fuel,SPBU Pattimura,105.266,-5.444,120,strategis
"9933038047",5250,fuel,SPBU AKR,105.548,-5.648,0,tidak stra
"9943973464",5250,fuel,Pertashop,105.088,-4.582,1,tidak stra
"10076576518",5250,fuel,,101.427,-0.914,1,tidak stra
"10091624007",5250,fuel,,104.759,-2.944,7,strategis
"10128309546",5250,fuel,,104.908,-3.787,7,strategis
"10570130301",5250,fuel,Pom Mini,101.942,-2.120,0,tidak stra
"10598442171",5250,fuel,Pertashop,105.091,-4.513,4,tidak stra
"10648564262",5250,fuel,,100.527,-0.322,2,tidak stra
"10648564263",5250,fuel,,100.553,-0.364,0,tidak stra
"10648564264",5250,fuel,,100.560,-0.396,0,tidak stra
"10701166696",5250,fuel,,98.854,2.670,146,strategis
"10704076934",5250,fuel,Pertamina,98.820,2.692,1,tidak stra
"10720845195",5250,fuel,Pertamina,99.067,2.971,0,tidak stra
"10991721289",5250,fuel,SPBU 14 202 102,98.694,3.559,61,strategis
"10991751869",5250,fuel,SPBU 14.201.1126,98.687,3.568,50,strategis
"11104858476",5250,fuel,SPBU Pertamina,105.276,-5.046,1,tidak stra
